name,playcount,listeners,mbid,url,streamable,tags
Art Popular,1411030,114676,9c9d31ec-01ac-4d4e-a4b5-fce93b6b2618,https://www.last.fm/music/Art+Popular,0,"Pagode, samba, Art popular"
Bon Entendeur,1397823,114652,,https://www.last.fm/music/Bon+Entendeur,0,"electronic, french, france"
Samurai,2295404,114612,fdf22bf0-deb6-433f-9c79-c92cf8aad2a0,https://www.last.fm/music/Samurai,0,"NWOBHM, Progressive rock, heavy metal"
Aflacko,1717874,114511,,https://www.last.fm/music/Aflacko,0,"USA, american"
Heavy Baile,2000090,114510,,https://www.last.fm/music/Heavy+Baile,0,"seen live, Hip-Hop, funk"
Airways,1166587,114494,,https://www.last.fm/music/Airways,0,"rock, alternative rock, indie rock"
Haze,1420158,114485,ef60cd50-25ed-4bdb-9fff-9d40d3b1e022,https://www.last.fm/music/Haze,0,"hardstyle, Progressive rock, Hip-Hop"
The Olympians,915994,114457,305386be-ef0f-4c62-a2b7-97c3e9e42b15,https://www.last.fm/music/The+Olympians,0,"soul, jazz, funk"
Annisokay,4441558,114448,,https://www.last.fm/music/Annisokay,0,"post-hardcore, metalcore, german"
Cornelia Murr,1194284,114349,,https://www.last.fm/music/Cornelia+Murr,0,"indie pop, art pop, indie"
BewhY,2703120,114306,,https://www.last.fm/music/BewhY,0,"Hip-Hop, rap, Korean"
Peter Gundry,1999006,114301,,https://www.last.fm/music/Peter+Gundry,0,"folk, neoclassical, australian"
Fiddlehead,3228761,114301,84b5a13b-7510-447d-90dc-20f490367288,https://www.last.fm/music/Fiddlehead,0,"post-hardcore, emo, noise rock"
Big Boss Vette,601616,114300,,https://www.last.fm/music/Big+Boss+Vette,0,"Hip-Hop, rap, female vocalist"
Dpsht,456286,114274,,https://www.last.fm/music/Dpsht,0,"lofi, chill, Lo-Fi"
given,2413482,114260,,https://www.last.fm/music/given,0,"Nu Metal, rapcore, J-rock"
Geese,2142359,114164,7c0fa31b-b43a-464d-935f-dc3a772c1c0a,https://www.last.fm/music/Geese,0,"indie rock, post-punk, art punk"
Shawn James,2149315,114063,,https://www.last.fm/music/Shawn+James,0,"soul, folk, blues"
Josiah and the Bonnevilles,1118059,114055,,https://www.last.fm/music/Josiah+and+the+Bonnevilles,0,"indie, folk, americana"
Davichi,2306497,113998,0f98037f-80de-405d-afd5-30433abd872a,https://www.last.fm/music/Davichi,0,"k-pop, Korean, davichi"
ヨルシカ,4167847,113944,,https://www.last.fm/music/%E3%83%A8%E3%83%AB%E3%82%B7%E3%82%AB,0,"j-pop, japanese, female vocalists"
Jimmy Whoo,957626,113929,4d9865fb-0630-4a33-8547-6fc70df189be,https://www.last.fm/music/Jimmy+Whoo,0,"Hip-Hop, french, beats"
April June,546081,113926,,https://www.last.fm/music/April+June,0,"electronic, indie pop, dream pop"
The Ponderosa Twins Plus One,792553,113885,,https://www.last.fm/music/The+Ponderosa+Twins+Plus+One,0,"USA, Ohio, United States"
Rousseau,1285351,113865,0beea40e-efd4-4bf3-bde0-e06243cc0623,https://www.last.fm/music/Rousseau,0,"Progressive rock, german, metal"
You Blew It!,2513513,113858,5d38d649-ea95-4096-b34b-9bf59e0e2d0a,https://www.last.fm/music/You+Blew+It%21,0,"emo, indie rock, math rock"
Obskür,846846,113855,,https://www.last.fm/music/Obsk%C3%BCr,0,"House, techno, germany"
Yard Act,2070204,113812,,https://www.last.fm/music/Yard+Act,0,"post-punk, Crank wave, indie rock"
Faye Wong,3062925,113748,692e367d-2846-442d-b13d-1177c3681c65,https://www.last.fm/music/Faye+Wong,0,"chinese, pop, female vocalists"
Zero 9:36,1439115,113727,,https://www.last.fm/music/Zero+9:36,0,"rapcore, electronic, rock"
Faceless 1-7,2183374,113682,,https://www.last.fm/music/Faceless+1-7,0,"Hip-Hop, trap, phone"
Banshee,2043533,113678,9cdffdcc-8103-4195-ab45-cc4d8bb8cd1a,https://www.last.fm/music/Banshee,0,"heavy metal, US Power Metal, folk"
Marc Rebillet,1782396,113638,,https://www.last.fm/music/Marc+Rebillet,0,"funk, electronic, jazz"
Mickey Darling,2705003,113617,,https://www.last.fm/music/Mickey+Darling,0,"pop, indie pop, USA"
Joeyy,7376481,113578,,https://www.last.fm/music/Joeyy,0,"cloud rap, trap, nod"
Wolfine,888196,113553,,https://www.last.fm/music/Wolfine,0,"Reggaeton, Colombia, colombian"
Woodlock,683789,113536,,https://www.last.fm/music/Woodlock,0,"indie, folk, indie rock"
TRE SAVAGE,1089009,113472,,https://www.last.fm/music/TRE+SAVAGE,0,
Lovelyz,6360377,113467,75d74780-dfbe-409b-ba34-a0e8a2439881,https://www.last.fm/music/Lovelyz,0,"k-pop, Korean, pop"
Trash Boat,2797149,113309,,https://www.last.fm/music/Trash+Boat,0,"pop punk, seen live, british"
Gloryhammer,5061145,113269,85997032-ff48-4383-b86a-a920d4230a0b,https://www.last.fm/music/Gloryhammer,0,"Power metal, symphonic metal, symphonic power metal"
Blanks,1883360,113250,,https://www.last.fm/music/Blanks,0,"a capella, scrubs, a cappella"
Jeff Williams,6008236,113213,373981b7-b102-4782-831d-c2108e4b7340,https://www.last.fm/music/Jeff+Williams,0,"Soundtrack, electronic, rock"
Riven,2054231,113208,,https://www.last.fm/music/Riven,0,"instrumental, the music maker society, acoustic"
Nattan,2667054,113208,,https://www.last.fm/music/Nattan,0,"brazil, brazilian, Forro"
Banda UÓ,5785853,113197,15d55c10-aee2-4669-9074-e9b14ad6244a,https://www.last.fm/music/Banda+U%C3%93,0,"brazilian, electrobrega, electropop"
Trophy Eyes,4240395,113193,c4d34bbb-8dbf-468e-bd44-4e5b20200eb2,https://www.last.fm/music/Trophy+Eyes,0,"melodic hardcore, pop punk, hardcore"
Maddix,901091,113169,baaaf955-f46b-471e-8e04-a9b44ff86ac4,https://www.last.fm/music/Maddix,0,"techno, electro, electro house"
Glocca Morra,3207245,113148,53514aa5-b0b8-4d0e-8326-b7bb8dfe080a,https://www.last.fm/music/Glocca+Morra,0,"emo, punk, indie rock"
Seafood Sam,932512,113136,,https://www.last.fm/music/Seafood+Sam,0,"Hip-Hop, rap, west coast"
prodby668,1196468,113126,,https://www.last.fm/music/prodby668,0,"electronic, instrumental, trap"
Asake,2676280,113106,,https://www.last.fm/music/Asake,0,"afrobeats, nigeria, amapiano"
Zezé Di Camargo & Luciano,2037135,113015,17022e90-a743-4c5f-89b4-c9243be7b7ad,https://www.last.fm/music/Zez%C3%A9+Di+Camargo+&+Luciano,0,"sertanejo, brasil, brazilian"
Mumuzinho,1358279,113003,02889713-e8cf-4325-ba1e-1824fd3989ca,https://www.last.fm/music/Mumuzinho,0,"Pagode, brazilian, samba"
Metaroom,2034865,112998,,https://www.last.fm/music/Metaroom,0,"electronic, EDM, hardcore breaks"
Yung Hurn,5456921,112990,,https://www.last.fm/music/Yung+Hurn,0,"cloud rap, rap, Hip-Hop"
Bennett Coast,907574,112952,,https://www.last.fm/music/Bennett+Coast,0,
Almendra,2642256,112947,0b144888-0e76-465c-be88-882cf4f4cb5e,https://www.last.fm/music/Almendra,0,"Rock Argentino, argentina, rock"
Etta Marcus,847228,112916,,https://www.last.fm/music/Etta+Marcus,0,"indie pop, female vocalists, indie rock"
Puterrier,1641472,112834,,https://www.last.fm/music/Puterrier,0,"Grime, atabagrime, rap"
Fabich,639866,112759,,https://www.last.fm/music/Fabich,0,"british, electronic, dance"
ben&ben,4791896,112724,,https://www.last.fm/music/ben&ben,0,"pop, folk, philippines"
Kant,1247849,112607,c7ba050a-2a69-4715-a694-d148820bebb7,https://www.last.fm/music/Kant,0,"deep house, Hip-Hop, rap"
Penomeco,2629796,112542,,https://www.last.fm/music/Penomeco,0,"rap, Hip-Hop, Korean"
Charlotte de Witte,1252010,112538,,https://www.last.fm/music/Charlotte+de+Witte,0,"techno, minimal techno, flanders"
$atori Zoom,1798478,112509,,https://www.last.fm/music/$atori+Zoom,0,"Hip-Hop, trap, phonk"
POiSON GiRL FRiEND,1921610,112502,,https://www.last.fm/music/POiSON+GiRL+FRiEND,0,"dream pop, trip-hop, japanese"
CURSEDEVIL,1229340,112441,,https://www.last.fm/music/CURSEDEVIL,0,"funk, Kazakhstan, kazakh"
Cola,904501,112419,2de8ba69-c2b7-4f89-8bca-a3a1043b3061,https://www.last.fm/music/Cola,0,"post-punk, indie rock, Crank wave"
Sushi Soucy,1740959,112377,,https://www.last.fm/music/Sushi+Soucy,0,"queer, Non binary vocalist, indie"
slipmami,5312100,112370,,https://www.last.fm/music/slipmami,0,"rap, trap, brazil"
Michele Leigh,828334,112301,,https://www.last.fm/music/Michele+Leigh,0,"indie pop, female vocalists, american"
Rscl,643164,112245,,https://www.last.fm/music/Rscl,0,"House, electronic, producer"
Lit Killah,4314770,112143,,https://www.last.fm/music/Lit+Killah,0,"rap, trap, argentina"
Arc De Soleil,1422307,112132,,https://www.last.fm/music/Arc+De+Soleil,0,"Psychedelic Rock, surf rock, surf funk"
Shankar-Ehsaan-Loy,2104359,112104,d8d3e7de-793e-49fa-8bb8-6bc732d4c8aa,https://www.last.fm/music/Shankar-Ehsaan-Loy,0,"bollywood, Hindi, Indian"
Hardy,2895080,112102,,https://www.last.fm/music/Hardy,0,"country, heavy metal, alternative rock"
Austin Moon,1691776,112034,,https://www.last.fm/music/Austin+Moon,0,"under 500 listeners, disney channel, youngstar"
Brutalismus 3000,2509004,112022,,https://www.last.fm/music/Brutalismus+3000,0,"techno, Gabber, hardcore"
Spectrum,1013367,112021,fbd2b374-cf5f-49d6-bad3-c9ab6bb7e9b5,https://www.last.fm/music/Spectrum,0,"space rock, psychedelic, experimental"
Warhaus,2269457,111985,,https://www.last.fm/music/Warhaus,0,"seen live, Belgium, rock"
MC Ingryd,868160,111934,,https://www.last.fm/music/MC+Ingryd,0,brasil
Ghost Town,2164328,111923,f953cc21-0ea2-4374-a492-8d9ecec14ba6,https://www.last.fm/music/Ghost+Town,0,"hardcore, electronic, metalcore"
strxwberrymilk,1931770,111905,,https://www.last.fm/music/strxwberrymilk,0,"breakcore, ambient, germany"
Bambam,3636398,111892,,https://www.last.fm/music/Bambam,0,"got7, pop, thai"
Pristin,2784060,111847,,https://www.last.fm/music/Pristin,0,"k-pop, pop, Korean"
Dept,2250651,111816,,https://www.last.fm/music/Dept,0,"rock, catala, catalunya"
Alabaster Deplume,1266255,111812,4c1d0414-f5d7-4882-92fc-ba2421b82d40,https://www.last.fm/music/Alabaster+Deplume,0,"jazz, folk, experimental"
38 Special,894826,111750,2a078e98-9360-48cd-b49c-6eac987b3d92,https://www.last.fm/music/38+Special,0,"Southern Rock, classic rock, rock"
Suriel Hess,1180820,111723,,https://www.last.fm/music/Suriel+Hess,0,"pop, indie pop"
Haruhisa Tanaka,838355,111708,,https://www.last.fm/music/Haruhisa+Tanaka,0,"ambient, japanese, drone"
